event_id,timestamp,zone,time_of_day,noise_level_db,ambient_limit_db,excess_db,noise_exceeded,is_construction_site,construction_confidence,violations,is_compliant,severity,audio_motorvehicle-horn,video_car,audio_motorvehicle-siren,audio_generator,video_person,video_truck,video_backpack,video_bus,video_motorcycle,audio_crowd-noise,video_bicycle,video_umbrella,audio_construction-site,video_train,audio_mobile-music,video_fire hydrant,video_airplane,video_suitcase,video_horse,video_bench,video_traffic light
test_clip_1_chunk_0086,2025-11-02T00:45:52.343838,residential,night,55.09,45.0,10.09,True,False,0.25,ambient_exceeded,False,moderate,,0.7808,,,0.7809,0.3992,,0.6294,0.6121,0.4438,,,,,,,,,,,
test_clip_1_chunk_0086,2025-11-02T00:45:52.343838,residential,night,55.09,45.0,10.09,True,False,0.25,ambient_exceeded,False,moderate,,0.7808,,,0.7809,0.3992,,0.6294,0.6121,0.4438,,,,,,,,,,,
test_clip_1_chunk_0087,2025-11-02T00:45:02.343838,residential,night,54.37,45.0,9.37,True,False,0.25,ambient_exceeded,False,minor,,0.8641,,,0.7383,0.6133,,,0.7307,0.4749,,,,,,,,,,,
test_clip_1_chunk_0087,2025-11-02T00:45:02.343838,residential,night,54.37,45.0,9.37,True,False,0.25,ambient_exceeded,False,minor,,0.8641,,,0.7383,0.6133,,,0.7307,0.4749,,,,,,,,,,,
test_clip_1_chunk_0088,2025-11-02T00:45:12.343838,residential,night,53.43,45.0,8.43,True,False,0.25,ambient_exceeded,False,minor,0.4361,0.836,,,0.6772,0.552,,0.4394,0.6522,,,,,,,,,,,,
test_clip_1_chunk_0088,2025-11-02T00:45:12.343838,residential,night,53.43,45.0,8.43,True,False,0.25,ambient_exceeded,False,minor,0.4361,0.836,,,0.6772,0.552,,0.4394,0.6522,,,,,,,,,,,,
test_clip_1_chunk_0089,2025-11-02T00:45:22.343838,residential,night,54.85,45.0,9.85,True,False,0.2857,ambient_exceeded,False,minor,0.4956,0.7039,,,0.6709,0.583,,,0.6237,,,,,,,,,,,,
test_clip_1_chunk_0089,2025-11-02T00:45:22.343838,residential,night,54.85,45.0,9.85,True,False,0.2857,ambient_exceeded,False,minor,0.4956,0.7039,,,0.6709,0.583,,,0.6237,,,,,,,,,,,,
test_clip_1_chunk_0090,2025-11-02T00:46:32.343838,residential,night,69.57,45.0,24.57,True,False,0.1429,ambient_exceeded,False,severe,,0.5311,,,0.7903,0.643,,,0.5792,,,0.5183,0.3973,,,,,,,,
test_clip_1_chunk_0090,2025-11-02T00:46:32.343838,residential,night,69.57,45.0,24.57,True,False,0.1429,ambient_exceeded,False,severe,,0.5311,,,0.7903,0.643,,,0.5792,,,0.5183,0.3973,,,,,,,,
test_clip_1_chunk_0091,2025-11-02T00:46:42.343838,residential,night,58.35,45.0,13.35,True,False,0.2857,ambient_exceeded,False,moderate,,0.7059,,,0.7427,,,,0.4859,0.4439,,,,,,,,,,,
test_clip_1_chunk_0091,2025-11-02T00:46:42.343838,residential,night,58.35,45.0,13.35,True,False,0.2857,ambient_exceeded,False,moderate,,0.7059,,,0.7427,,,,0.4859,0.4439,,,,,,,,,,,
test_clip_1_chunk_0092,2025-11-02T00:46:52.343838,residential,night,62.07,45.0,17.07,True,True,0.7143,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.79,,,0.7034,0.5209,,0.3972,0.5449,0.5701,,,,,,,,,,,
test_clip_1_chunk_0092,2025-11-02T00:46:52.343838,residential,night,62.07,45.0,17.07,True,True,0.7143,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.79,,,0.7034,0.5209,,0.3972,0.5449,0.5701,,,,,,,,,,,
test_clip_1_chunk_0093,2025-11-02T00:46:02.343838,residential,night,60.02,45.0,15.02,True,False,0.5,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7673,0.778,,,0.5991,0.6766,,,,,0.6202,,,,,,,,,,
test_clip_1_chunk_0093,2025-11-02T00:46:02.343838,residential,night,60.02,45.0,15.02,True,False,0.5,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7673,0.778,,,0.5991,0.6766,,,,,0.6202,,,,,,,,,,
test_clip_1_chunk_0094,2025-11-02T00:46:12.343838,residential,night,60.87,45.0,15.87,True,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.7994,,,,0.6965,,0.7886,0.5505,0.6732,,,,,,,,,,,
test_clip_1_chunk_0094,2025-11-02T00:46:12.343838,residential,night,60.87,45.0,15.87,True,True,1.0,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.7994,,,,0.6965,,0.7886,0.5505,0.6732,,,,,,,,,,,
test_clip_1_chunk_0095,2025-11-02T00:46:22.343838,residential,night,61.94,45.0,16.94,True,False,0.3333,ambient_exceeded,False,severe,,0.7191,,0.2879,0.7675,0.7554,,,0.7884,,,,,,,,,,,,
test_clip_1_chunk_0095,2025-11-02T00:46:22.343838,residential,night,61.94,45.0,16.94,True,False,0.3333,ambient_exceeded,False,severe,,0.7191,,0.2879,0.7675,0.7554,,,0.7884,,,,,,,,,,,,
test_clip_1_chunk_0096,2025-11-02T00:47:32.343838,residential,night,60.41,45.0,15.41,True,False,0.3333,ambient_exceeded,False,severe,0.3064,0.7169,,,0.7293,,,,0.6684,,,,,0.4047,,,,,,,
test_clip_1_chunk_0096,2025-11-02T00:47:32.343838,residential,night,60.41,45.0,15.41,True,False,0.3333,ambient_exceeded,False,severe,0.3064,0.7169,,,0.7293,,,,0.6684,,,,,0.4047,,,,,,,
test_clip_1_chunk_0097,2025-11-02T00:47:42.343838,residential,night,64.03,45.0,19.03,True,False,0.0,ambient_exceeded,False,severe,,0.8902,,,0.5369,,,,0.6655,0.6835,,,,,,,,,,,
test_clip_1_chunk_0097,2025-11-02T00:47:42.343838,residential,night,64.03,45.0,19.03,True,False,0.0,ambient_exceeded,False,severe,,0.8902,,,0.5369,,,,0.6655,0.6835,,,,,,,,,,,
test_clip_1_chunk_0098,2025-11-02T00:47:52.343838,residential,night,64.17,45.0,19.17,True,False,0.3,ambient_exceeded,False,severe,,0.9081,,,0.5953,0.603,,,0.5131,0.4806,,,,,,,,,,,
test_clip_1_chunk_0098,2025-11-02T00:47:52.343838,residential,night,64.17,45.0,19.17,True,False,0.3,ambient_exceeded,False,severe,,0.9081,,,0.5953,0.603,,,0.5131,0.4806,,,,,,,,,,,
test_clip_1_chunk_0099,2025-11-02T00:47:02.343838,residential,night,61.91,45.0,16.91,True,False,0.3,ambient_exceeded,False,severe,,0.5752,,,0.6704,0.5308,,0.5106,0.6304,0.4445,,,,,,,,,,,
test_clip_1_chunk_0099,2025-11-02T00:47:02.343838,residential,night,61.91,45.0,16.91,True,False,0.3,ambient_exceeded,False,severe,,0.5752,,,0.6704,0.5308,,0.5106,0.6304,0.4445,,,,,,,,,,,
test_clip_1_chunk_0100,2025-11-02T00:47:12.343838,residential,night,57.64,45.0,12.64,True,False,0.0,ambient_exceeded,False,moderate,,,,,0.7531,,,0.4639,0.5841,0.5547,,,,,,,,,,,
test_clip_1_chunk_0100,2025-11-02T00:47:12.343838,residential,night,57.64,45.0,12.64,True,False,0.0,ambient_exceeded,False,moderate,,,,,0.7531,,,0.4639,0.5841,0.5547,,,,,,,,,,,
test_clip_1_chunk_0101,2025-11-02T00:47:22.343838,residential,night,58.38,45.0,13.38,True,False,0.2222,ambient_exceeded,False,moderate,0.5441,,,,0.6732,,,0.414,0.5949,,,,,,,,,,,,
test_clip_1_chunk_0101,2025-11-02T00:47:22.343838,residential,night,58.38,45.0,13.38,True,False,0.2222,ambient_exceeded,False,moderate,0.5441,,,,0.6732,,,0.414,0.5949,,,,,,,,,,,,
test_clip_1_chunk_0102,2025-11-02T00:48:32.343838,residential,night,61.78,45.0,16.78,True,True,0.8889,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.6254,,,0.6182,,,,0.5517,,0.6573,,,,0.4448,,,,,,
test_clip_1_chunk_0102,2025-11-02T00:48:32.343838,residential,night,61.78,45.0,16.78,True,True,0.8889,ambient_exceeded; construction_prohibited; multiple_violations,False,severe,,0.6254,,,0.6182,,,,0.5517,,0.6573,,,,0.4448,,,,,,
test_clip_1_chunk_0103,2025-11-02T00:48:42.343838,residential,night,60.59,45.0,15.59,True,False,0.5556,ambient_exceeded,False,severe,0.5562,0.631,,,0.6535,,,,0.5713,,,0.3886,,,,,,,,,
test_clip_1_chunk_0103,2025-11-02T00:48:42.343838,residential,night,60.59,45.0,15.59,True,False,0.5556,ambient_exceeded,False,severe,0.5562,0.631,,,0.6535,,,,0.5713,,,0.3886,,,,,,,,,
test_clip_1_chunk_0104,2025-11-02T00:48:52.343838,residential,night,61.03,45.0,16.03,True,False,0.5556,ambient_exceeded,False,severe,,0.6571,,,0.6778,0.6324,,0.6191,0.6593,0.688,,,,,,,,,,,
test_clip_1_chunk_0104,2025-11-02T00:48:52.343838,residential,night,61.03,45.0,16.03,True,False,0.5556,ambient_exceeded,False,severe,,0.6571,,,0.6778,0.6324,,0.6191,0.6593,0.688,,,,,,,,,,,
test_clip_1_chunk_0105,2025-11-02T00:48:02.343838,residential,night,71.41,45.0,26.41,True,False,0.375,ambient_exceeded,False,severe,,0.7047,,,0.6378,,,0.6414,0.5637,0.4743,,0.4164,,,,,,,,,
test_clip_1_chunk_0105,2025-11-02T00:48:02.343838,residential,night,71.41,45.0,26.41,True,False,0.375,ambient_exceeded,False,severe,,0.7047,,,0.6378,,,0.6414,0.5637,0.4743,,0.4164,,,,,,,,,
test_clip_1_chunk_0106,2025-11-02T00:48:12.343838,residential,night,68.86,45.0,23.86,True,False,0.125,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6993,0.7127,,,0.6069,,,0.5962,0.5167,,,,,0.5159,,,,,,,
test_clip_1_chunk_0106,2025-11-02T00:48:12.343838,residential,night,68.86,45.0,23.86,True,False,0.125,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6993,0.7127,,,0.6069,,,0.5962,0.5167,,,,,0.5159,,,,,,,
test_clip_1_chunk_0107,2025-11-02T00:48:22.343838,residential,night,64.8,45.0,19.8,True,False,0.375,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7356,0.4973,,,0.7977,0.4416,,,0.6517,,,0.4347,,,,,,,,,
test_clip_1_chunk_0107,2025-11-02T00:48:22.343838,residential,night,64.8,45.0,19.8,True,False,0.375,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7356,0.4973,,,0.7977,0.4416,,,0.6517,,,0.4347,,,,,,,,,
test_clip_1_chunk_0108,2025-11-02T00:49:32.343838,residential,night,64.84,45.0,19.84,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6209,0.6545,,,0.7743,0.6148,,,0.7588,,,0.4534,,,,,,,,,
test_clip_1_chunk_0108,2025-11-02T00:49:32.343838,residential,night,64.84,45.0,19.84,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.6209,0.6545,,,0.7743,0.6148,,,0.7588,,,0.4534,,,,,,,,,
test_clip_1_chunk_0109,2025-11-02T00:49:42.343838,residential,night,69.19,45.0,24.19,True,False,0.0,ambient_exceeded; horn_prohibited; multiple_violations,False,severe,0.7004,0.5145,,,0.6641,0.4532,,0.4909,0.7205,,,,,,,,,,,,
